% Model,2_electrode_cancer_tissue.mph
% Version,COMSOL 6.2.0.290
% Date,"Nov 25 2025, 17:56"
% Dimension,3
% Nodes,13552
% Expressions,2
% Description,"Electric potential, Impedance"
% Length unit,m
% x,y,z,V (V) @ freq=230,ec.Z11 (Ω) @ freq=230
100,100,-2,1.435935584409924E-6-1.8373478794764627E-11i,0.007179678164654247-9.186739707806478E-8i
100,96,-2,1.4359355716000888E-6-1.8373478630856676E-11i,0.007179678164654246-9.186739707806479E-8i
97.29965511388943,96.91150112033716,-2,1.4359355753873842E-6-1.8373478679316932E-11i,0.007179678164654245-9.186739707806479E-8i
100,100,-7,1.4359355633988371E-6-1.837347852591775E-11i,0.007179678164654246-9.186739707806479E-8i
96,100,-2,1.4359355859382193E-6-1.8373478814319875E-11i,0.007179678164654247-9.186739707806478E-8i
99.99999999999999,91.99999999999997,-2,1.4359355347644144E-6-1.837347815952673E-11i,0.007179678164654246-9.186739707806479E-8i
97.02411831364554,93.86473974868002,-2,1.4359355566764785E-6-1.8373478439901957E-11i,0.007179678164654245-9.186739707806479E-8i
99.99999999999999,93.32329609359608,-7,1.4359355155411351E-6-1.8373477913555698E-11i,0.007179678164654245-9.186739707806479E-8i
100,90.66164804679805,-4.5,1.4359354725138483E-6-1.83734773630011E-11i,0.007179678164654245-9.186739707806479E-8i
96.63539210980747,89.90319711370616,-2,1.4359355046328945E-6-1.8373477773979578E-11i,0.007179678164654244-9.186739707806479E-8i
100.00000000000003,88.00000000000001,-2,1.4359354558750683E-6-1.8373477150100017E-11i,0.007179678164654247-9.186739707806478E-8i
95.6587103165347,94.91175677616985,-7,1.4359355375238485E-6-1.8373478194834982E-11i,0.007179678164654244-9.186739707806479E-8i
93.73467688218989,96.30980752221316,-2,1.4359355774291718E-6-1.8373478705442566E-11i,0.007179678164654244-9.186739707806479E-8i
93.58101462851664,91.88357791768232,-2,1.4359355364125745E-6-1.837347818061568E-11i,0.007179678164654244-9.186739707806479E-8i
96.11395465859938,91.78641671762843,-4.499999999999968,1.4359355030915812E-6-1.8373477754257728E-11i,0.007179678164654244-9.186739707806479E-8i
93.32330637996576,100,-6.999999999999999,1.4359355633399402E-6-1.8373478525164125E-11i,0.007179678164654245-9.186739707806479E-8i
91.99999999999999,100,-2,1.4359355915638115E-6-1.8373478886301998E-11i,0.007179678164654247-9.186739707806478E-8i
90.66165318998287,100,-4.5,1.435935574591181E-6-1.837347866912912E-11i,0.007179678164654245-9.186739707806479E-8i
88,100,-2,1.4359355870523563E-6-1.8373478828575796E-11i,0.007179678164654247-9.186739707806478E-8i
89.52572514978891,96.52143565296223,-2,1.4359355792318948E-6-1.8373478728509276E-11i,0.007179678164654245-9.186739707806479E-8i
90.65153020677882,93.61027858938905,-2,1.4359355529093474E-6-1.8373478391699758E-11i,0.007179678164654245-9.186739707806479E-8i
