% Model,2_electrode_cancer_tissue (1).mph
% Version,COMSOL 6.2.0.290
% Date,"Nov 24 2025, 12:27"
% Dimension,3
% Nodes,13552
% Expressions,2
% Description,"Impedance, Electric potential"
% Length unit,m
% x,y,z,ec.Z11 (Ω) @ freq=50000,V (V) @ freq=50000
100,100,-2,0.007179678165783102-1.997117328097541E-8i,1.435935584635693E-6-3.994234521228052E-12i
100,96,-2,0.007179678165783102-1.997117328097541E-8i,1.4359355718258578E-6-3.994234485595889E-12i
97.29965511388943,96.91150112033716,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359355756131539E-6-3.994234496130729E-12i
100,100,-7,0.007179678165783102-1.997117328097541E-8i,1.4359355636246078E-6-3.9942344627830826E-12i
96,100,-2,0.007179678165783102-1.997117328097541E-8i,1.4359355861639892E-6-3.994234525479196E-12i
99.99999999999999,91.99999999999997,-2,0.007179678165783102-1.997117328097541E-8i,1.4359355349901835E-6-3.994234383132848E-12i
97.02411831364554,93.86473974868002,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359355569022484E-6-3.9942344440840024E-12i
99.99999999999999,93.32329609359608,-7,0.007179678165783103-1.9971173280975413E-8i,1.4359355157669052E-6-3.9942343296609E-12i
100,90.66164804679805,-4.5,0.007179678165783103-1.9971173280975413E-8i,1.4359354727396197E-6-3.994234209975118E-12i
96.63539210980747,89.90319711370616,-2,0.0071796781657831035-1.9971173280975416E-8i,1.435935504858664E-6-3.994234299318259E-12i
100.00000000000003,88.00000000000001,-2,0.007179678165783102-1.997117328097541E-8i,1.435935456100838E-6-3.994234163692267E-12i
95.6587103165347,94.91175677616985,-7,0.0071796781657831035-1.997117328097541E-8i,1.4359355377496203E-6-3.994234390808574E-12i
93.73467688218989,96.30980752221316,-2,0.0071796781657831035-1.9971173280975413E-8i,1.4359355776549431E-6-3.994234501810217E-12i
93.58101462851664,91.88357791768232,-2,0.0071796781657831035-1.9971173280975416E-8i,1.4359355366383438E-6-3.994234387717413E-12i
96.11395465859938,91.78641671762843,-4.499999999999968,0.0071796781657831035-1.997117328097541E-8i,1.4359355033173521E-6-3.994234295030913E-12i
93.32330637996576,100,-6.999999999999999,0.007179678165783103-1.9971173280975413E-8i,1.435935563565711E-6-3.994234462619254E-12i
91.99999999999999,100,-2,0.007179678165783102-1.997117328097541E-8i,1.435935591789582E-6-3.994234541127487E-12i
90.66165318998287,100,-4.5,0.007179678165783103-1.9971173280975413E-8i,1.4359355748169514E-6-3.9942344939159895E-12i
88,100,-2,0.007179678165783102-1.997117328097541E-8i,1.4359355872781272E-6-3.994234528578313E-12i
89.52572514978891,96.52143565296223,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359355794576658E-6-3.994234506824723E-12i
90.65153020677882,93.61027858938905,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359355531351183E-6-3.994234433605258E-12i
100,86.6207001069764,-7,0.007179678165783103-1.9971173280975413E-8i,1.4359352843140457E-6-3.994233685845805E-12i
100.00000000000003,84.00000000000003,-2.0000000000000004,0.007179678165783102-1.997117328097541E-8i,1.435935288691827E-6-3.994233698023157E-12i
96.53589838486225,86.00000000000003,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359353849621425E-6-3.994233965811087E-12i
84,100,-2,0.007179678165783102-1.997117328097541E-8i,1.4359355880270468E-6-3.994234530661526E-12i
85.85639114056366,96.56812931794116,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359355798160545E-6-3.994234507821621E-12i
82,96.53589838486224,-2,0.007179678165783103-1.9971173280975413E-8i,1.435935578293474E-6-3.994234503586372E-12i
86.62072311103262,100,-6.999999999999999,0.0071796781657831035-1.9971173280975416E-8i,1.4359355649863645E-6-3.994234466570985E-12i
93.11912579884412,87.78038120661208,-2,0.0071796781657831035-1.9971173280975416E-8i,1.4359354510211329E-6-3.994234149562435E-12i
95.20379100355319,89.70809368657686,-7,0.007179678165783103-1.9971173280975406E-8i,1.4359354322476156E-6-3.994234097341539E-12i
89.69355922574732,89.85356838763325,-2,0.0071796781657831035-1.9971173280975413E-8i,1.4359355014515078E-6-3.994234289840833E-12i
89.59932221662788,93.73766664881231,-7,0.0071796781657831035-1.9971173280975403E-8i,1.4359355283769538E-6-3.9942343647373314E-12i
87.64409799547643,93.34548299975327,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359355545490805E-6-3.9942344375383744E-12i
100,80,-2,0.007179678165783102-1.997117328097541E-8i,1.4359349408069988E-6-3.994232730337965E-12i
96.53589838486224,82.00000000000001,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359351466910532E-6-3.994233303030232E-12i
100,79.98479059516539,-7,0.007179678165783103-1.9971173280975413E-8i,1.4359345530009099E-6-3.994231651606801E-12i
100,76,-2,0.007179678165783102-1.997117328097541E-8i,1.4359342499581005E-6-3.994230808655308E-12i
96.53589838486224,78,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359346464431405E-6-3.994231911528064E-12i
100,72,-1.9999999999999998,0.007179678165783102-1.997117328097541E-8i,1.435932852358515E-6-3.994226921057168E-12i
100.00000000000001,73.30707035341077,-7,0.007179678165783103-1.9971173280975413E-8i,1.4359321977383884E-6-3.994225100149368E-12i
96.53589838486224,74,-2,0.0071796781657831035-1.9971173280975416E-8i,1.4359336872497053E-6-3.9942292434114935E-12i
100,70.65353517670539,-4.5,0.007179678165783103-1.9971173280975413E-8i,1.4359307136760992E-6-3.994220972044397E-12i
96.53589838486224,70,-2,0.007179678165783103-1.9971173280975413E-8i,1.4359317240693807E-6-3.994223782579749E-12i
100.00000000000001,68,-2.0000000000000004,0.007179678165783102-1.997117328097541E-8i,1.435930047591755E-6-3.9942191192474385E-12i
94.43766803303114,83.20643388273058,-7,0.007179678165783103-1.9971173280975406E-8i,1.435935019212784E-6-3.994232948433473E-12i
