% Model,Comsol Modeling.mph
% Version,COMSOL 6.2.0.290
% Date,"Nov 27 2025, 03:29"
% Dimension,3
% Nodes,13552
% Expressions,2
% Description,"Electric potential, Impedance"
% Length unit,m
% x,y,z,V (V) @ freq=760,ec.Z11 (Ω) @ freq=760
100,100,-2,0.035898349507474205-3.794518555643022E-5i,0.17949175360247951-1.8972593419307716E-4i
100,96,-2,0.03589834918722878-3.7945185217925195E-5i,0.17949175360247951-1.8972593419307716E-4i
97.29965511388943,96.91150112033716,-2,0.03589834928191105-3.794518531800599E-5i,0.17949175360247954-1.897259341930772E-4i
100,100,-7,0.035898348982197646-3.7945185001203684E-5i,0.17949175360247951-1.8972593419307716E-4i
96,100,-2,0.03589834954568163-3.794518559681615E-5i,0.17949175360247951-1.8972593419307716E-4i
99.99999999999999,91.99999999999997,-2,0.03589834826633795-3.794518424452743E-5i,0.17949175360247951-1.8972593419307716E-4i
97.02411831364554,93.86473974868002,-2,0.03589834881413899-3.79451848235627E-5i,0.17949175360247954-1.897259341930772E-4i
99.99999999999999,93.32329609359608,-7,0.03589834778575643-3.794518373654432E-5i,0.17949175360247954-1.897259341930772E-4i
100,90.66164804679805,-4.5,0.03589834671007552-3.794518259953071E-5i,0.17949175360247954-1.897259341930772E-4i
96.63539210980747,89.90319711370616,-2,0.035898347513050814-3.794518344828965E-5i,0.17949175360247957-1.8972593419307716E-4i
100.00000000000003,88.00000000000001,-2,0.035898346294106494-3.794518215984415E-5i,0.17949175360247951-1.8972593419307716E-4i
95.6587103165347,94.91175677616985,-7,0.03589834833532368-3.794518431744655E-5i,0.17949175360247957-1.8972593419307713E-4i
93.73467688218989,96.30980752221316,-2,0.03589834933295572-3.7945185371961105E-5i,0.17949175360247957-1.8972593419307716E-4i
93.58101462851664,91.88357791768232,-2,0.035898348307541954-3.7945184288080744E-5i,0.17949175360247957-1.8972593419307716E-4i
96.11395465859938,91.78641671762843,-4.499999999999968,0.03589834747451799-3.794518340755981E-5i,0.17949175360247957-1.8972593419307713E-4i
93.32330637996576,100,-6.999999999999999,0.035898348980725255-3.794518499964733E-5i,0.17949175360247954-1.897259341930772E-4i
91.99999999999999,100,-2,0.035898349686321274-3.794518574547462E-5i,0.17949175360247951-1.8972593419307716E-4i
90.66165318998287,100,-4.5,0.03589834926200597-3.794518529696592E-5i,0.17949175360247954-1.897259341930772E-4i
88,100,-2,0.035898349573534986-3.7945185626257594E-5i,0.17949175360247951-1.8972593419307716E-4i
89.52572514978891,96.52143565296223,-2,0.03589834937802373-3.794518541959879E-5i,0.17949175360247954-1.897259341930772E-4i
90.65153020677882,93.61027858938905,-2,0.03589834871996082-3.794518472401474E-5i,0.17949175360247954-1.897259341930772E-4i
100,86.6207001069764,-7,0.035898341999441474-3.79451776203079E-5i,0.17949175360247954-1.897259341930772E-4i
100.00000000000003,84.00000000000003,-2.0000000000000004,0.03589834210888593-3.794517773599259E-5i,0.17949175360247951-1.8972593419307716E-4i
96.53589838486225,86.00000000000003,-2,0.0358983445156411-3.7945180279974986E-5i,0.17949175360247954-1.897259341930772E-4i
84,100,-2,0.035898349592258016-3.794518564604814E-5i,0.17949175360247951-1.8972593419307716E-4i
85.85639114056366,96.56812931794116,-2,0.035898349386983455-3.794518542906938E-5i,0.17949175360247954-1.897259341930772E-4i
82,96.53589838486224,-2,0.03589834934891901-3.794518538883461E-5i,0.17949175360247954-1.897259341930772E-4i
86.62072311103262,100,-6.999999999999999,0.03589834901624154-3.794518503718864E-5i,0.17949175360247957-1.897259341930772E-4i
93.11912579884412,87.78038120661208,-2,0.03589834616711407-3.794518202561091E-5i,0.17949175360247957-1.8972593419307716E-4i
95.20379100355319,89.70809368657686,-7,0.0358983456977766-3.794518152951295E-5i,0.17949175360247957-1.8972593419307713E-4i
89.69355922574732,89.85356838763325,-2,0.03589834742787206-3.794518335825425E-5i,0.17949175360247957-1.8972593419307716E-4i
