% Model,Comsol Modeling.mph
% Version,COMSOL 6.2.0.290
% Date,"Nov 24 2025, 12:30"
% Dimension,3
% Nodes,13552
% Expressions,2
% Description,"Impedance, Electric potential"
% Length unit,m
% x,y,z,ec.Z11 (Ω) @ freq=50000,V (V) @ freq=50000
100,100,-2,0.17862812656544189-0.012421912187879748i,0.03572562410590316-0.0024843823536275325i
100,96,-2,0.17862812656544189-0.012421912187879748i,0.0357256237871986-0.002484382331464617i
97.29965511388943,96.91150112033716,-2,0.17862812656544189-0.012421912187879748i,0.03572562388142531-0.0024843823380172013i
100,100,-7,0.17862812656544189-0.012421912187879748i,0.035725623583154-0.0024843823172752276i
96,100,-2,0.17862812656544189-0.012421912187879748i,0.03572562414392676-0.0024843823562717164i
99.99999999999999,91.99999999999997,-2,0.17862812656544189-0.012421912187879748i,0.03572562287073869-0.0024843822677334208i
97.02411831364554,93.86473974868002,-2,0.17862812656544189-0.012421912187879748i,0.03572562341590393-0.002484382305644555i
99.99999999999999,93.32329609359608,-7,0.17862812656544189-0.012421912187879748i,0.03572562239246949-0.00248438223447428i
100,90.66164804679805,-4.5,0.17862812656544189-0.012421912187879748i,0.03572562132196424-0.0024843821600306726i
96.63539210980747,89.90319711370616,-2,0.17862812656544189-0.012421912187879748i,0.03572562212107599-0.0024843822156014016i
100.00000000000003,88.00000000000001,-2,0.17862812656544189-0.012421912187879748i,0.03572562090799665-0.0024843821312431017i
95.6587103165347,94.91175677616985,-7,0.17862812656544189-0.012421912187879748i,0.03572562293939248-0.002484382272507649i
93.73467688218989,96.30980752221316,-2,0.17862812656544189-0.012421912187879748i,0.03572562393222435-0.0024843823415497965i
93.58101462851664,91.88357791768232,-2,0.17862812656544189-0.012421912187879748i,0.03572562291174436-0.002484382270584978i
96.11395465859938,91.78641671762843,-4.499999999999968,0.17862812656544189-0.012421912187879748i,0.035725622082728566-0.0024843822129346983i
93.32330637996576,100,-6.999999999999999,0.17862812656544189-0.012421912187879748i,0.0357256235816887-0.002484382317173329i
91.99999999999999,100,-2,0.17862812656544189-0.012421912187879748i,0.03572562428388968-0.002484382366004824i
90.66165318998287,100,-4.5,0.17862812656544189-0.012421912187879748i,0.03572562386161598-0.0024843823366396465i
88,100,-2,0.17862812656544189-0.012421912187879748i,0.03572562417164607-0.0024843823581993324i
89.52572514978891,96.52143565296223,-2,0.17862812656544189-0.012421912187879748i,0.03572562397707552-0.002484382344668777i
90.65153020677882,93.61027858938905,-2,0.17862812656544189-0.012421912187879748i,0.035725623322178844-0.0024843822991268516i
100,86.6207001069764,-7,0.17862812656544189-0.012421912187879748i,0.03572561663399545-0.0024843818340263744i
100.00000000000003,84.00000000000003,-2.0000000000000004,0.17862812656544189-0.012421912187879748i,0.035725616742913295-0.002484381841600588i
96.53589838486225,86.00000000000003,-2,0.17862812656544189-0.012421912187879748i,0.03572561913808831-0.002484382008162564i
84,100,-2,0.17862812656544189-0.012421912187879748i,0.03572562419027903-0.002484382359495081i
85.85639114056366,96.56812931794116,-2,0.17862812656544189-0.012421912187879748i,0.03572562398599212-0.0024843823452888433i
82,96.53589838486224,-2,0.17862812656544189-0.012421912187879748i,0.0357256239481108-0.0024843823426545543i
86.62072311103262,100,-6.999999999999999,0.17862812656544189-0.012421912187879748i,0.03572562361703406-0.002484382319631267i
93.11912579884412,87.78038120661208,-2,0.17862812656544189-0.012421912187879748i,0.03572562078161518-0.002484382122454457i
